start_time,close,datetime,high,low,open,volume
1614189600000,1635.0,2021-02-24 18:00:00,1661.07,1634.51,1661.07,27848.05006
1614193200000,1599.2,2021-02-24 19:00:00,1639.21,1595.84,1635.0,48989.55196
1614196800000,1603.05,2021-02-24 20:00:00,1616.86,1578.32,1599.2,47443.46698
1614200400000,1590.25,2021-02-24 21:00:00,1603.61,1558.84,1603.06,43603.89665
1614204000000,1590.65,2021-02-24 22:00:00,1595.38,1555.0,1589.97,29872.71303
1614207600000,1623.39,2021-02-24 23:00:00,1629.41,1587.18,1590.39,40417.52596
1614211200000,1651.93,2021-02-25 00:00:00,1657.89,1616.0,1623.16,48965.72408
1614214800000,1629.35,2021-02-25 01:00:00,1656.8,1625.97,1651.85,29527.74027
1614218400000,1631.71,2021-02-25 02:00:00,1645.0,1624.6,1629.31,29477.15085
1614222000000,1603.87,2021-02-25 03:00:00,1631.83,1602.11,1631.63,31503.14544
1614225600000,1591.03,2021-02-25 04:00:00,1614.27,1586.64,1603.87,43514.90529
1614229200000,1622.69,2021-02-25 05:00:00,1624.9,1590.99,1590.99,36818.34816
1614232800000,1617.93,2021-02-25 06:00:00,1628.66,1608.87,1622.69,30042.46182
1614236400000,1633.8,2021-02-25 07:00:00,1647.17,1608.8,1617.94,46385.72017
1614240000000,1598.14,2021-02-25 08:00:00,1638.23,1591.4,1633.69,37566.31416
1614243600000,1595.95,2021-02-25 09:00:00,1606.5,1577.88,1598.26,53051.92161
1614247200000,1609.0,2021-02-25 10:00:00,1615.24,1588.38,1595.71,34732.99313
1614250800000,1621.93,2021-02-25 11:00:00,1626.42,1608.99,1609.0,30434.91959
1614254400000,1648.51,2021-02-25 12:00:00,1648.51,1612.03,1621.84,43884.82592
1614258000000,1645.18,2021-02-25 13:00:00,1671.59,1635.51,1648.24,71676.40172
1614261600000,1633.95,2021-02-25 14:00:00,1654.11,1625.0,1645.32,41177.91956
1614265200000,1627.57,2021-02-25 15:00:00,1644.02,1615.45,1633.53,34191.17221
1614268800000,1620.91,2021-02-25 16:00:00,1636.99,1615.58,1627.37,34161.9616
1614272400000,1592.58,2021-02-25 17:00:00,1622.25,1584.0,1620.9,51895.96988
1614276000000,1580.57,2021-02-25 18:00:00,1603.76,1571.52,1592.57,40685.30165
1614279600000,1585.3,2021-02-25 19:00:00,1594.85,1567.08,1580.2,30745.21426
1614283200000,1575.31,2021-02-25 20:00:00,1587.84,1557.88,1585.24,41311.63857
1614286800000,1525.88,2021-02-25 21:00:00,1583.78,1525.0,1575.46,50879.21194
1614290400000,1516.61,2021-02-25 22:00:00,1544.06,1500.0,1525.81,62480.90841
1614294000000,1481.75,2021-02-25 23:00:00,1530.24,1459.16,1516.9,77558.9238
1614297600000,1480.44,2021-02-26 00:00:00,1515.19,1448.0,1482.08,120106.14259
1614301200000,1472.85,2021-02-26 01:00:00,1499.19,1462.15,1480.54,71468.92117
1614304800000,1487.69,2021-02-26 02:00:00,1501.79,1458.42,1472.21,46029.57941
1614308400000,1491.25,2021-02-26 03:00:00,1494.4,1472.01,1487.69,37119.55807
1614312000000,1504.39,2021-02-26 04:00:00,1530.76,1491.13,1491.13,89371.86948
1614315600000,1450.2,2021-02-26 05:00:00,1513.31,1450.0,1504.2,72624.0068
1614319200000,1462.64,2021-02-26 06:00:00,1474.0,1450.0,1450.04,56006.15355
1614322800000,1430.39,2021-02-26 07:00:00,1472.51,1400.0,1462.44,116254.85368
1614326400000,1456.14,2021-02-26 08:00:00,1466.0,1430.39,1430.59,66283.08865
1614330000000,1476.42,2021-02-26 09:00:00,1484.61,1442.06,1456.08,59280.80421
1614333600000,1486.93,2021-02-26 10:00:00,1488.99,1463.0,1476.34,41962.3092
1614337200000,1483.74,2021-02-26 11:00:00,1494.31,1452.18,1486.93,41894.47793
1614340800000,1483.73,2021-02-26 12:00:00,1496.43,1479.0,1483.74,32338.46147
1614344400000,1460.02,2021-02-26 13:00:00,1489.8,1457.76,1483.73,34800.27145
1614348000000,1515.56,2021-02-26 14:00:00,1530.65,1457.46,1460.4,64010.76327
1614351600000,1532.48,2021-02-26 15:00:00,1541.39,1500.03,1515.49,48926.17443
1614355200000,1550.14,2021-02-26 16:00:00,1552.99,1530.26,1532.46,50081.8016
1614358800000,1519.81,2021-02-26 17:00:00,1562.25,1515.44,1549.92,43782.58891
1614362400000,1507.76,2021-02-26 18:00:00,1529.31,1506.59,1519.8,32362.60236
1614366000000,1479.5,2021-02-26 19:00:00,1516.3,1474.1,1507.43,45325.06225
1614369600000,1446.05,2021-02-26 20:00:00,1484.86,1444.67,1479.69,59029.94569
1614373200000,1429.75,2021-02-26 21:00:00,1467.65,1428.0,1446.13,52234.28519
1614376800000,1424.41,2021-02-26 22:00:00,1442.36,1410.33,1429.73,42982.96175
1614380400000,1444.59,2021-02-26 23:00:00,1449.0,1420.37,1424.39,31696.61067
1614384000000,1490.25,2021-02-27 00:00:00,1491.5,1438.4,1444.56,45262.169
1614387600000,1496.22,2021-02-27 01:00:00,1503.65,1482.01,1490.38,61074.49591
1614391200000,1489.57,2021-02-27 02:00:00,1517.3,1484.67,1496.26,52688.60395
1614394800000,1490.86,2021-02-27 03:00:00,1515.0,1485.0,1489.58,35412.85561
1614398400000,1501.08,2021-02-27 04:00:00,1509.96,1485.47,1490.84,30426.75371
1614402000000,1505.78,2021-02-27 05:00:00,1514.24,1488.93,1501.08,33334.24926
1614405600000,1505.52,2021-02-27 06:00:00,1529.0,1500.0,1505.78,38172.20743
1614409200000,1490.3,2021-02-27 07:00:00,1506.44,1481.79,1505.56,34857.64969
1614412800000,1473.59,2021-02-27 08:00:00,1493.33,1461.5,1490.32,45772.49717
1614416400000,1466.0,2021-02-27 09:00:00,1474.5,1454.2,1473.44,40194.049
1614420000000,1466.0,2021-02-27 10:00:00,1478.2,1463.08,1465.89,29409.83523
1614423600000,1469.81,2021-02-27 11:00:00,1485.0,1462.22,1466.0,34902.82914
1614427200000,1486.09,2021-02-27 12:00:00,1494.98,1454.52,1470.02,41759.39284
1614430800000,1483.49,2021-02-27 13:00:00,1494.22,1476.56,1486.09,27053.35528
1614434400000,1472.77,2021-02-27 14:00:00,1489.98,1460.0,1483.5,27609.18653
1614438000000,1453.55,2021-02-27 15:00:00,1490.44,1445.0,1472.89,53388.36305
1614441600000,1470.7,2021-02-27 16:00:00,1476.34,1445.02,1453.57,32092.51859
1614445200000,1486.97,2021-02-27 17:00:00,1488.54,1469.01,1470.7,28889.48645
1614448800000,1491.08,2021-02-27 18:00:00,1496.0,1485.99,1486.98,44827.07022
1614452400000,1512.0,2021-02-27 19:00:00,1515.02,1488.54,1490.97,34053.34626
1614456000000,1508.2,2021-02-27 20:00:00,1520.0,1500.68,1511.99,29379.19564
1614459600000,1506.71,2021-02-27 21:00:00,1523.48,1497.43,1508.18,32024.71873
1614463200000,1463.27,2021-02-27 22:00:00,1510.0,1460.71,1506.74,23956.45339
1614466800000,1458.13,2021-02-27 23:00:00,1469.85,1425.0,1463.47,70881.76542
1614470400000,1460.4,2021-02-28 00:00:00,1467.66,1441.56,1458.27,34919.4934
1614474000000,1463.78,2021-02-28 01:00:00,1468.75,1449.64,1460.4,25951.16128
1614477600000,1430.79,2021-02-28 02:00:00,1465.56,1423.1,1463.54,36344.35428
1614481200000,1369.29,2021-02-28 03:00:00,1430.66,1366.43,1430.66,108244.1563
1614484800000,1369.17,2021-02-28 04:00:00,1396.96,1363.16,1369.29,71830.92178
1614488400000,1362.89,2021-02-28 05:00:00,1398.01,1352.69,1368.68,69272.37582
1614492000000,1334.73,2021-02-28 06:00:00,1365.49,1313.74,1363.16,119903.51659
1614495600000,1342.5,2021-02-28 07:00:00,1355.28,1322.5,1334.53,57211.18619
1614499200000,1359.59,2021-02-28 08:00:00,1373.99,1342.01,1342.43,52540.52575
1614502800000,1364.41,2021-02-28 09:00:00,1379.09,1349.27,1359.69,44523.55809
1614506400000,1362.81,2021-02-28 10:00:00,1379.97,1354.6,1364.34,43055.42375
1614510000000,1371.53,2021-02-28 11:00:00,1384.53,1358.4,1363.09,33134.34544
1614513600000,1358.28,2021-02-28 12:00:00,1379.9,1347.12,1371.67,41062.39419
1614517200000,1335.53,2021-02-28 13:00:00,1365.42,1334.0,1358.33,45243.64001
1614520800000,1354.83,2021-02-28 14:00:00,1356.6,1315.87,1335.04,78945.07013
1614524400000,1318.22,2021-02-28 15:00:00,1356.5,1293.18,1354.82,103885.05282
1614528000000,1346.86,2021-02-28 16:00:00,1368.0,1301.71,1318.29,131006.04302
1614531600000,1328.28,2021-02-28 17:00:00,1358.44,1327.56,1346.86,66445.96766
1614535200000,1349.7,2021-02-28 18:00:00,1358.54,1324.03,1328.28,35030.26854
1614538800000,1389.24,2021-02-28 19:00:00,1395.0,1346.23,1349.69,47708.36699
1614542400000,1408.65,2021-02-28 20:00:00,1415.02,1382.25,1388.96,51448.31142
1614546000000,1412.66,2021-02-28 21:00:00,1423.66,1399.9,1408.64,44277.94858
1614549600000,1420.82,2021-02-28 22:00:00,1422.0,1393.35,1412.67,25198.11102
1614553200000,1419.18,2021-02-28 23:00:00,1442.0,1406.96,1420.75,43025.36979
1614556800000,1440.76,2021-03-01 00:00:00,1449.99,1409.91,1418.67,48482.8716
1614560400000,1439.55,2021-03-01 01:00:00,1447.39,1426.3,1440.77,27214.4069
1614564000000,1440.05,2021-03-01 02:00:00,1456.88,1434.96,1439.73,43927.60124
1614567600000,1434.06,2021-03-01 03:00:00,1446.15,1431.27,1440.31,33488.96519
1614571200000,1441.63,2021-03-01 04:00:00,1451.92,1421.46,1434.06,33633.18294
1614574800000,1433.71,2021-03-01 05:00:00,1448.1,1427.94,1441.9,28600.1106
1614578400000,1424.36,2021-03-01 06:00:00,1442.93,1420.52,1433.72,27076.40447
1614582000000,1437.74,2021-03-01 07:00:00,1441.0,1422.24,1424.36,26410.97932
1614585600000,1464.46,2021-03-01 08:00:00,1474.1,1437.7,1437.74,65136.84609
1614589200000,1504.17,2021-03-01 09:00:00,1510.04,1464.22,1464.48,89093.96636
1614592800000,1522.87,2021-03-01 10:00:00,1531.0,1495.91,1504.17,78336.05004
1614596400000,1524.96,2021-03-01 11:00:00,1530.72,1513.36,1523.06,45203.07069
1614600000000,1528.95,2021-03-01 12:00:00,1536.16,1509.77,1524.95,55408.12927
1614603600000,1522.81,2021-03-01 13:00:00,1539.05,1522.56,1528.94,49174.54918
